名前	文明	種族	パワー	コスト	進化	効果	トリガー
蒼天の守護者ラ・ウラ・ギガ	0	12	2000	1		1		
予言者リュゾル	0	20	2000	2				
予言者カティノ	0	20	2000＋	2		1		
碧玉草	0	15	3000	2		1		
雷光の使徒ミール	0	10	1000	3				
紅玉草	0	15	3000	3		1		
弾丸の使徒イーレ	0	10	3000	3				
翡翠樹	0	15	4000	3		1		
予言者キリアス	0	20	2500	4				
大気の使徒フレイ	0	10	3000	4				
追跡の使徒ローク	0	10	4000	4				
月光の守護者ディア・ノーク	0	12	5000	4		1		
希望の使徒トール	0	10	2000	5				
粛清の伝道師ラー	0	17	5500	5				
黄昏の守護者シーブス・キーン	0	12	6000	5		1		
真理の伝道師レイーラ	0	17	3000	6				
浄化の精霊ウルス	0	11	6000	6		3		
天空の守護者グラン・ギューレ	0	12	9000	6		1		
光輪の精霊シャウナ	0	11	9500	7		3		
アクア・ガード	1	35	2000	1		1		
アクア・ビークル	1	35	1000	2				
狩猟魚	1	32	3000	2		1		
キャンディ・ドロップ	1	25	1000	3		2		
アクア・ソルジャー	1	35	1000	3				
キング・クラーケン	1	34	1000	3		1		
アクア・ハルカス	1	35	2000	3				
ファントム・フィッシュ	1	24	4000	3		1		
一角魚	1	32	1000	4				
フェアリー・チャイルド	1	25	2000	4		2		
リボルバー・フィッシュ	1	24	5000	4		1		
ソーサーヘッド・シャーク	1	24	3000	5				
トロピコ	1	28	3000	5				
アクア・ナイト	1	35	4000	5				
ミラージュ・マーメイド	1	24	4000	5				
シーマイン	1	32	4000	6		1		
キング・ポセイドン	1	34	5000	7				
キング・オリオン	1	34	6000	7		2,3		
アクア・スナイパー	1	35	5000	8				
怒りの影ブラック・フェザー	2	39	3000	1				
うごめく者ボーン・グール	2	49	2000	2				
さまよう者ブレイン・イーター	2	49	2000	2		1		
ブラッディ・イヤリング	2	47	4000	2		1		
捕らえる者ボーン・スパイダー	2	49	5000	3				
凶食虫スティンガーワーム	2	45	5000	3				
嘆きの影ダーク・レイブン	2	39	1000	4		1		
切り裂く者ボーン・アサシン	2	49	2000	4		9		
汚れた者スケルトンソルジャー	2	49	3000	4				
ダーク・クラウン	2	47	6000	4		1		
嘲りの影マスクド・ホラー	2	39	1000	5				
ギガジール	2	37	3000	5		9		
ギガベロス	2	37	8000	5				
滅びの影ナイト・マスター	2	39	3000	6		1		
暗黒の騎士ザガーン	2	41	7000	6		3		
腐食虫スワンプワーム	2	45	2000	7				
混沌の獅子デスライガー	2	41	9000	7		3		
ギガルゴン	2	37	3000	8				
妖姫シルフィ	2	40	4000	8				
凶戦士ブレイズ・クロー	3	56	1000	1				
職人ピコラ	3	63	2000	1				
喧嘩屋タイラー	3	58	1000＋	2				
不死身男爵ボーグ	3	58	2000	2				
一撃必殺のホーバス	3	58	2000＋	3				
強襲兵ギガントス	3	56	5000	3				
超砲手ボルカノドン	3	56	2000＋	4				
走神兵ウルヘリオン	3	52	3000＋	4				
掃討兵バーニング・ヘル	3	56	3000＋	4				
銃神兵ディオライオス	3	52	4000	4				
メテオザウルス	3	65	2000	5				
放浪の勇者ジージョ	3	63	3000	5				
ストーンザウルス	3	65	4000＋	5				
ドラグライド	3	51	5000	5				
爆勇士ユーカーン	3	56	9000	5		3		
ボルシャック・ドラゴン	3	50	6000＋	6		3		
メテオ・ドラゴン	3	50	6000＋	7		3		
ガトリング・ワイバーン	3	51	7000	7		3		
クリムゾン・ワイバーン	3	51	3000	8				
シビレアシダケ	4	73	1000	2				
炎のたてがみ	4	75	2000	2				
鋼鉄の鎚	4	75	3000	2				
青銅の鎧	4	75	1000	3				
無敵の咆哮	4	75	2000	3				
黄金の翼	4	75	2000＋	3				
白銀の牙	4	75	3000	3				
からみカズラ	4	71	3000	4				
シェル・ドーム	4	67	3000＋	4				
フォレスト・ホーネット	4	69	4000	4				
毒吐きダリア	4	71	5000	4				
デスブレード・ビートル	4	69	3000＋	5		3		
トゲ刺しマンドラ	4	71	4000	5				
レッドアイ・スコーピオン	4	69	4000	5				
暴走するロング・ホーン	4	76	4000	5				
群れを守るトライ・ホーン	4	76	5000	5				
シェル・タワー	4	67	5000	6				
咆哮するグレート・ホーン	4	76	8000＋	7		3		
シェル・ストーム	4	67	2000	7				
ソーラー・レイ	0	0		2			1	
ソニック・ウイング	0	0		3				
ムーンライト・フラッシュ	0	0		4				
レーザー・ウイング	0	0		5				
ホーリー・スパーク	0	0		6			1	
ブラック・スレイヤー	2	0		1				
ダーク・リバース	2	0		2			1	
ゴースト・タッチ	2	0		2			1	
デス・スモーク	2	0		4				
デーモン・ハンド	2	0		6			1	
バーニング・パワー	3	0		1				
クリムゾン・ハンマー	3	0		2				
カオス・ストライク	3	0		2				
マグマ・ゲイザー	3	0		3				
トルネード・フレーム	3	0		5			1	
ガイアズ・ソング	4	0		1				
ディメンジョン・ゲート	4	0		3			1	
オーラ・ブラスター	4	0		4				
アルティメット・フォース	4	0		5				
ナチュラル・トラップ	4	0		6			1	
スパイラル・ゲート	1	0		2			1	
エレメンタル・トラップ	1	0		3				
クリスタル・メモリー	1	0		4			1	
サイバー・ブレイン	1	0		4			1	
テレポーテーション	1	0		5				
晴天の守護者レゾ・パコス	0	12	3000	3				
予言者フィンチ	0	20	2000	4				
磁力の使徒マグリス	0	10	3000	4				
予言者ウィン	0	20	1500	2			2	
守護聖天ラルバ・ギア	0	12	5000	3	1			
竜巻草	0	15	2500	4		1		
暁の守護者ファル・イーガ	0	12	4000	5				
閃光の伝道師ラグナ	0	17	2500	5			2	
星海の精霊エーテル	0	11	5500	6		2		
守護聖天ラディア・バーレ	0	12	9500	6	1	1,3		
アクア・シューター	1	35	2000	4		1		
シザー・アイ	1	24	3000	4				
コーライル	1	28	2000	5				
ステンドグラス	1	25	1000	3			2	
クリスタル・ランサー	1	35	8000	6	1	2,3		
ウォルタ	1	28	1000	3			2	
アクア・バウンサー	1	35	1000	6		1		
キング・ノーチラス	1	34	6000	8		3		
プラズマ・チェイサー	1	24	4000	6			2	
クリスタル・パラディン	1	35	5000	4	1			
ねじれる者ボーン・スライム	2	49	1000	1		1		
卵胞虫ゼリー・ワーム	2	45	2000	3			2	
ギガスタンド	2	37	3000	4				
貪欲の影グレイ・バルーン	2	39	3000	3		1		
魔獣虫カオス・ワーム	2	45	5000	5	1			
毒煙虫ポイズン・ワーム	2	45	4000	4				
アンバー・ピアス	2	47	2000	4			2	
魔将ダーク・フリード	2	40	6000	5			2	
暗黒巨兵マギン	2	41	4000	6		3	2	
魔翼虫ジェノサイド・ワーム	2	45	11000	6	1	3		
小さな勇者ゲット	3	58	2000＋	2				
技師ピーポ	3	63	2000	2				
ガルザウルス	3	65	4000＋	5				
騎兵総長キュラトプス	3	56	2000	3				
機神装甲ヴァルバロス	3	58	3000＋	3	1			
突神兵ドガーン	3	52	2000＋	3				
メタルウイング・ワイバーン	3	51	6000	7		3	2	
ボマー・ザウルス	3	65	5000	5				
ボルザード・ドラゴン	3	50	5000	6			2	
機神装甲ヴァルディオス	3	58	6000	4	1	3		
機神装甲ヴァルボーグ	3	58	5000＋	3	1	3		
ラブ・エルフィン	4	71	1000	2				
銀の戦斧	4	75	1000	3			2	
跳躍するトルネード・ホーン	4	76	2000＋	3				
大勇者「大地の猛攻」	4	75	5000	2	1			
銀の拳	4	75	3000＋	4				
念仏エルフィン	4	71	2000	4				
鳴動するギガ・ホーン	4	76	3000	5				
シェル・フォートレス	4	67	5000	9				
ゼノ・マンティス	4	69	6000	7		3		
大勇者「ふたつ牙」	4	75	8000	6	1	3		
ロジック・キューブ	0	0		3			1	
ダイヤモンド・カッター	0	0		5				
マインド・サーチ	1	0		2				
ディープ・オペレーション	1	0		4			1	
クリティカル・ブレード	2	0		2			1	
ロスト・ソウル	2	0		7				
クエイク・ゲート	3	0		4				
バースト・ショット	3	0		6			1	
マナ・クライシス	4	0		4			1	
レインボー・ストーン	4	0		4				
陽光の求道者ル・パーレ	0	19	2500+	4				
閃光の使徒レーナ	0	10	2000	4				
予言者アレス	0	20	1000	6				
線光花	0	15	3000	4				
雷電の求道者ラ・ビュー	0	19	4000	6			2	
堅牢の伝道師アレーク	0	17	4000+	7		1		
雷雲の守護者ラーザ・ベガ	0	12	3000	10		1		
聖天使ジーク・バリキューラ	0	10	5000	3	1			
流星の精霊ミーア	0	11	11500	8		3		
アングラー・クラスター	1	26	3000＋	3		1		
エメラル	1	28	1000	2				
シュトラ	1	28	2000	4				
スティンガー・ボール	1	25	1000	3			2	
キング・ボニータス	1	34	4000	8			2	
アクア・デフォーマー	1	35	3000	8				
キング・ネプタス	1	34	5000	6			2	
レジェンダリー・バイロン	1	34	8000	6	1	3		
混沌魚	1	24	1000+	7			2	
嘆きの影ベルベットフロー	2	39	1000	3		9		
ボーン・ピアース	2	47	1000	2				
泥男	2	48	2000+	4				
腐卵虫ハングワーム	2	45	4000	5				
邪剣バラガ	2	40	4000	4				
憎悪の騎士ガミル	2	41	4000	6			2	
牙男	2	48	1000＋	4		9		
絶望の魔黒ジャックバイパー	2	39	4000	3	1			
凶闘の魔人ギリエル	2	41	11000	8		3		
奇襲兵ブルレイザー	3	56	3000	2				
チッチ・ホッピー	3	59	2000+	3				
爆炎野郎ジョー	3	58	3000	3				
甲神兵クエロス	3	52	2000	5			2	
切断伯爵ムラマサ	3	58	3000	6			2	
フレムトロプス	3	65	3000+	4			2	
ボルテール・ドラゴン	3	50	9000	7		3		
超竜ジャバハ	3	50	11000	7	1	3		
ガルカーゴ・ドラゴン	3	50	6000+	7		3		
超竜ザシャック	3	50	11000	9	1	8		
スナイプ・モスキート	4	69	2000	1			2	
ソード・バタフライ	4	69	2000+	3				
激昂するダッシュ・ホーン	4	76	4000+	5				
シェル・ポーチ	4	67	1000	4				
奇面ざくろ	4	71	1000+	5				
マボロシキリダケ	4	73	2000	4			2	
夜明けの超人	4	68	11000	7		3		
大昆虫ギガマンティス	4	69	5000	4	1			
天空の超人	4	68	8000	5		3	2	
ホーリー・メール	0	0		4				
ライト・ブーメラン	0	0		6			1	
プロテクト・キューブ	0	0		3			1	
リキッド・スコープ	1	0		4			1	
ハイパー・ウェーブ	1	0		2			1	
ストリーミング・シェイパー	1	0		3				
スネークアタック	2	0		4				
魔流毒	2	0		1			1	
デビル・ドレーン	2	0		3				
ボルカニック・アロー	3	0		2			1	
灼熱波	3	0		5				
ブレイズ・キャノン	3	0		7				
大地の咆哮	4	0		2			1	
深緑の魔方陣	4	0		4			1	
逆転のオーロラ	4	0		5				
鎮圧の使徒サリエス	0	10	3000	2		1		
神速の守護者グラン・リエス	0	12	2000	3				
予言者コロン	0	20	1000	4			1	
琥珀草	0	15	3000	4			1	
修復の使徒オークス	0	10	1000	5				
雷鳴の守護者ミスト・リエス	0	12	2000	5				
牢黒の伝道師ミリエス	0	17	2500	5		1		
飛翔の精霊アリエス	0	11	9000	5				
暴風の求道者フ・レイル	0	19	5000	6				
聖霊王アルカディアス	0	11	12500	6	1	3		
聖清の精霊アムニス	0	11	5000	7				
聖弓の求道者レ・ビール	0	19	6000	7		3		
彗星の精霊リムエル	0	11	6000	8		3		
マリン・フラワー	1	25	2000	1		1		
アストラル・リーフ	1	25	4000	2	1			
アクア・チャージャー	1	35	2000	3			1	
ハンター・クラスター	1	26	1000	4		1	1	
チアフル・アビス	1	25	2000	4				
アクアン	1	28	2000	4				
スマイル・アングラー	1	24	3000	6			2	
キング・アクアカムイ	1	34	5000	7				
パープル・ピアス	2	47	2000	3				
汽車男	2	48	1000	4			1	
闇をあばく者スケルトン・シーフ	2	49	2000	4				
ギガボルバ	2	37	3000	4				
呪いの影シャドウ・ムーン	2	39	3000	4				
暴食虫グレゴリア・ワーム	2	45	3000	4			1	
屑男	2	48	2000	5				
荒廃の巨王ジェノサイド	2	41	9000	5				
邪妃グレゴリア	2	40	5000	6				
